BrandValue;Value;ModelName
3500;40;750
3500;41;760
3500;63;ActiveHybrid 7
3500;42;840
3500;43;850
3500;-26;Seria X
3500;64;ActiveHybrid X6
3500;6;X1
3500;129;X2
3500;48;X3
3500;145;X3 M
3500;153;X3 M40
3500;92;X4
3500;146;X4 M
3500;119;X4 M40
3500;49;X5
3500;53;X5 M
3500;96;X5 M50
3500;339;X5 M60
3500;60;X6
3500;62;X6 M
3500;97;X6 M50
3500;340;X6 M60
3500;143;X7
3500;332;X7 M50
3500;338;XM
3500;79;i3
3500;330;i4
3500;336;i7
3500;89;i8
3500;331;iX
3500;337;iX1
3500;329;iX3
3500;-25;Modele M
3500;69;M135
3500;122;M140i
3500;117;M2
3500;85;M235
3500;123;M240i
3500;45;M3
3500;152;M340i
3500;93;M4
3500;335;M440
3500;46;M5
3500;86;M550
3500;47;M6
3500;126;M760
3500;154;M8
3500;140;M850
3500;-27;Seria Z
3500;50;Z1
3500;51;Z3
3500;57;Z3 M
3500;52;Z4
3500;55;Z4 M
3500;54;Z8
25100;2;240
25100;3;244
25100;4;245
25100;5;262
25100;6;264
25100;7;340
25100;8;360
25100;9;440
25100;10;460
25100;11;480
25100;12;740
25100;13;744
25100;14;745
25100;15;760
25100;17;780
25100;18;850
25100;19;855
25100;20;940
25100;21;944
25100;22;945
25100;23;960
25100;24;965
25100;38;Amazon
25100;39;C30
25100;47;C40
25100;25;C70
25100;48;EX90
25100;26;Polar
25100;27;S40
25100;28;S60
25100;42;S60 Cross Country
25100;29;S70
25100;30;S80
25100;31;S90
25100;32;V40
25100;41;V40 Cross Country
25100;33;V50
25100;16;V60
25100;43;V60 Cross Country
25100;34;V70
25100;35;V90
25100;44;V90 Cross Country
25100;45;XC40
25100;40;XC60
25100;36;XC70
25100;37;XC90
